,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
0,3414942863,163955,368,172893,16,18,84
1,3414942863,164836,379,180763,18,16,90
0,3414942877,212444,418,206781,38,36,94
1,3414942877,208092,423,214473,36,38,96
0,3414942898,238943,516,271904,26,24,98
1,3414942898,222172,513,270760,24,26,100
0,3414942909,271072,545,280279,20,18,100
1,3414942909,248608,545,286366,18,20,96
0,3414942915,227196,503,261916,20,12,96
1,3414942915,213165,500,253736,12,20,94
0,3414942965,41788,116,38111,4,4,52
1,3414942965,44895,110,35476,4,4,50
0,3414942995,205910,447,226166,18,22,90
1,3414942995,203241,454,231859,22,18,94
0,3414942997,188382,405,196496,18,12,90
1,3414942997,170080,405,192876,12,18,88
0,3414943005,106180,253,108666,10,14,76
1,3414943005,110009,257,112290,14,10,76
0,3414943007,103461,245,99896,14,28,72
1,3414943007,113937,255,110994,28,14,80
0,3414943028,170033,363,171103,24,36,84
1,3414943028,188390,378,182553,36,24,88
0,3414943037,128064,288,128150,20,12,80
1,3414943037,123559,283,124711,12,20,76
0,3414943040,101847,244,103754,10,2,72
1,3414943040,97035,251,103417,2,10,74
0,3414943049,257897,543,278509,18,18,96
1,3414943049,257919,541,281995,18,18,96
0,3414943072,151695,356,164528,16,22,80
1,3414943072,158900,366,171715,22,16,86
0,3414943083,156958,349,161952,22,18,84
1,3414943083,164491,371,177392,18,22,86
0,3414943085,50104,130,42354,6,18,50
1,3414943085,64316,145,51219,18,6,56
0,3414943100,241425,463,238068,38,24,94
1,3414943100,206309,436,210682,24,38,88
0,3414943101,231455,497,253294,36,20,96
1,3414943101,219842,477,241942,20,36,90
0,3414943103,120429,286,126199,14,16,76
1,3414943103,128146,288,129390,16,14,78
0,3414943114,52434,138,46018,6,8,56
1,3414943114,58308,150,54255,8,6,58
0,3414943119,183656,411,199059,10,16,90
1,3414943119,188594,439,225195,16,10,94
0,3414943122,133379,338,157809,6,4,82
1,3414943122,139640,340,159269,4,6,82
0,3414943130,207262,425,215827,28,10,92
1,3414943130,165266,418,203284,10,28,90
0,3414943134,112235,274,113507,8,16,74
1,3414943134,119453,285,123602,16,8,78
0,3414943135,137035,293,133034,28,30,84
1,3414943135,142238,293,132337,30,28,82
0,3414943142,264978,510,267710,24,26,96
1,3414943142,253636,511,267755,26,24,98
0,3414943158,229431,499,256947,18,16,94
1,3414943158,236807,504,261614,16,18,96
0,3414943159,139813,308,134646,14,14,78
1,3414943159,138057,316,142064,14,14,78
0,3414943160,319378,631,355113,28,24,108
1,3414943160,287375,622,354090,24,28,108
0,3414943166,236262,505,263339,26,22,94
1,3414943166,229370,487,245712,22,26,90
0,3414943175,118350,278,119098,8,18,76
1,3414943175,139599,303,140024,18,8,86
0,3414943180,160799,380,187239,14,12,92
1,3414943180,175916,384,186887,12,14,88
0,3414943181,209938,454,229483,30,20,94
1,3414943181,226056,463,229297,20,30,90
0,3414943185,233590,507,260913,22,28,96
1,3414943185,256959,529,285316,28,22,102
0,3414943188,244537,488,241467,24,24,90
1,3414943188,240447,496,250701,24,24,94
0,3414943208,89486,214,86764,14,4,68
1,3414943208,77131,201,77815,4,14,64
0,3414943215,213327,467,238653,30,14,100
1,3414943215,193125,441,220160,14,30,90
0,3414943229,134616,325,145083,16,16,80
1,3414943229,139883,319,144671,16,16,80
0,3414943230,58750,150,54314,6,6,58
1,3414943230,52788,125,42271,6,6,48
0,3414943233,53956,138,47276,4,8,56
1,3414943233,59384,145,52525,8,4,60
0,3414943254,314978,614,339074,52,24,104
1,3414943254,294402,600,330147,24,52,106
0,3414943266,307485,621,346672,36,26,106
1,3414943266,303076,637,360425,26,36,106
0,3414943270,245290,541,279594,14,32,100
1,3414943270,303443,575,318400,32,14,106
0,3414943281,172008,384,186849,26,8,90
1,3414943281,152027,360,167649,8,26,80
