,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
0,3414959157,213444,474,245522,12,12,94
1,3414959157,214845,470,237931,12,12,94
0,3414959163,164384,375,178277,12,12,84
1,3414959163,156289,372,173907,12,12,92
0,3414959166,255651,528,282650,16,20,104
1,3414959166,244064,529,284225,20,16,106
0,3414959177,269199,574,315093,28,20,106
1,3414959177,253431,546,289258,20,28,100
0,3414959195,189138,417,205123,18,18,90
1,3414959195,203130,429,221858,18,18,92
0,3414959201,146066,322,150723,16,4,80
1,3414959201,131126,324,146464,4,16,80
0,3414959204,287299,603,324132,24,32,102
1,3414959204,321378,617,340270,32,24,104
0,3414959212,237872,558,295505,12,16,100
1,3414959212,252447,569,312779,16,12,104
0,3414959213,37341,91,23790,0,8,38
1,3414959213,45656,119,39262,8,0,56
0,3414959221,281558,620,343735,22,22,108
1,3414959221,276176,628,349306,22,22,106
0,3414959222,83937,209,84026,10,18,70
1,3414959222,91302,214,86679,18,10,70
0,3414959228,223024,465,233588,24,26,96
1,3414959228,198457,456,228226,26,24,94
0,3414959241,163537,382,188136,16,6,90
1,3414959241,160867,372,176436,6,16,88
0,3414959250,258627,539,278495,24,16,98
1,3414959250,243515,542,284542,16,24,98
0,3414959251,81219,215,83515,4,12,70
1,3414959251,86196,216,88825,12,4,68
0,3414959254,156955,322,147427,24,20,84
1,3414959254,140123,307,135940,20,24,82
0,3414959274,193491,420,208919,14,24,90
1,3414959274,192532,429,213110,24,14,96
0,3414959275,314763,568,304075,38,34,102
1,3414959275,288634,558,295729,34,38,100
0,3414959278,88244,239,98327,4,18,66
1,3414959278,116471,261,112439,18,4,80
0,3414959286,169677,369,173387,24,20,86
1,3414959286,164706,361,170556,20,24,90
0,3414959297,91093,220,88794,8,6,68
1,3414959297,80215,207,82064,6,8,64
0,3414959300,334587,621,342813,32,34,106
1,3414959300,298163,610,336641,34,32,108
0,3414959305,125471,297,130473,22,6,80
1,3414959305,103650,280,121042,6,22,74
0,3414959311,244544,540,283135,16,30,96
1,3414959311,276013,553,301182,30,16,108
0,3414959314,150663,369,175107,14,14,86
1,3414959314,152465,359,167819,14,14,80
0,3414959318,158019,335,158467,30,16,86
1,3414959318,138768,311,132763,16,30,76
0,3414959333,236306,501,257196,16,16,96
1,3414959333,246511,501,260488,16,16,96
0,3414959334,167653,379,182569,16,14,88
1,3414959334,162596,374,180688,14,16,86
0,3414959339,292186,631,351967,36,24,112
1,3414959339,287044,603,332320,24,36,102
0,3414959341,398390,773,455479,54,32,116
1,3414959341,373065,778,458298,32,54,114
0,3414959343,137511,302,137472,18,4,80
1,3414959343,112589,273,117230,4,18,72
0,3414959366,106684,233,93192,12,14,70
1,3414959366,108199,240,98588,14,12,74
0,3414959375,77597,193,71701,6,18,64
1,3414959375,97251,212,85458,18,6,72
0,3414959376,183768,399,193893,16,26,88
1,3414959376,202908,408,195106,26,16,84
0,3414959381,117264,281,121452,6,18,70
1,3414959381,126032,298,132399,18,6,80
0,3414959385,335899,723,415267,20,20,114
1,3414959385,363022,739,430965,20,20,112
0,3414959422,103663,244,102973,16,4,72
1,3414959422,94676,246,101824,4,16,70
0,3414959426,180866,387,186808,18,20,88
1,3414959426,176100,368,175996,20,18,86
0,3414959428,154312,363,169594,22,16,80
1,3414959428,149607,367,171888,16,22,82
0,3414959432,256558,529,268050,20,26,94
1,3414959432,265375,553,293279,26,20,100
0,3414959437,213981,470,243936,20,6,96
1,3414959437,195274,451,222252,6,20,90
0,3414959438,238441,495,259074,42,26,98
1,3414959438,224517,468,234653,26,42,94
0,3414959450,154711,330,149971,12,10,84
1,3414959450,132373,321,147291,10,12,84
0,3414959458,116967,261,114173,16,0,80
1,3414959458,92786,239,99053,0,16,68
0,3414959463,95074,233,93491,2,20,68
1,3414959463,112056,249,105101,20,2,78
0,3414959478,178114,407,197833,16,26,88
1,3414959478,204891,427,210846,26,16,92
0,3414959481,210914,414,201297,30,26,92
1,3414959481,213543,422,212726,26,30,92
0,3414959483,232208,441,221483,40,16,96
1,3414959483,193393,408,189993,16,40,82
0,3414959485,228080,491,245280,12,20,94
1,3414959485,231163,507,263924,20,12,98
0,3414959498,5045,10,0,0,0,8
1,3414959498,5015,10,0,0,0,10
0,3414959499,231645,510,264479,26,22,100
1,3414959499,248318,534,286359,22,26,102
0,3414959508,177863,387,189828,16,12,90
1,3414959508,163071,374,181909,12,16,86
0,3414959510,324472,630,354343,26,12,110
1,3414959510,281141,607,335056,12,26,106
0,3414959516,169127,411,199995,6,6,88
1,3414959516,181723,410,198728,6,6,86
0,3414959526,248102,506,263908,18,14,100
1,3414959526,244316,499,262283,14,18,96
0,3414959557,379978,742,437986,40,16,116
1,3414959557,334095,708,403050,16,40,112
0,3414959573,98638,249,105131,6,12,72
1,3414959573,112160,256,108334,12,6,76
0,3414959576,198463,419,210704,32,14,94
1,3414959576,192440,431,218976,14,32,92
0,3414959579,85954,209,81970,6,12,66
1,3414959579,92217,206,82254,12,6,68
0,3414959580,154221,340,160611,18,18,84
1,3414959580,147128,337,157525,18,18,84
0,3414959590,170261,371,175153,20,12,88
1,3414959590,149425,355,161748,12,20,78
0,3414959593,90333,215,86553,18,4,72
1,3414959593,75135,206,81228,4,18,68
0,3414959605,146655,321,144365,18,24,80
1,3414959605,151991,319,151791,24,18,84
0,3414959611,193318,410,201669,28,22,88
1,3414959611,189858,409,202525,22,28,88
0,3414959620,170722,364,170797,18,12,82
1,3414959620,148549,341,156773,12,18,80
0,3414959624,107675,218,88930,28,10,74
1,3414959624,85392,203,80950,10,28,66
0,3414959640,210323,445,223896,28,26,90
1,3414959640,203914,460,229383,26,28,94
0,3414959645,308186,641,364830,26,12,106
1,3414959645,281043,614,338668,12,26,104
0,3414959659,202682,450,221992,16,20,90
1,3414959659,224432,467,241346,20,16,96
0,3414959663,79428,205,80198,8,10,64
1,3414959663,82755,206,80757,10,8,68
0,3414959664,147913,341,160474,18,12,86
1,3414959664,136482,327,148755,12,18,82
0,3414959667,351230,729,417564,18,22,114
1,3414959667,364250,759,456317,22,18,118
0,3414959671,98072,210,85098,24,18,66
1,3414959671,92694,200,78711,18,24,66
0,3414959677,88908,215,86524,12,12,68
1,3414959677,85602,213,85849,12,12,72
0,3414959685,76726,201,78603,4,16,64
1,3414959685,88403,210,84096,16,4,72
0,3414959686,67809,192,71162,2,8,62
1,3414959686,85124,214,86242,8,2,68
0,3414959695,106439,244,101498,14,12,72
1,3414959695,98494,248,102756,12,14,74
0,3414959710,84861,211,85860,8,14,68
1,3414959710,89334,219,87595,14,8,70
0,3414959730,242869,498,255295,20,14,98
1,3414959730,248010,519,272151,14,20,96
0,3414959731,328550,666,372181,26,26,104
1,3414959731,311301,660,376211,26,26,110
0,3414961036,296773,608,332884,24,26,104
1,3414961036,313864,611,329987,26,24,104
0,3414961039,5000,10,0,0,0,6
1,3414961039,5000,10,0,0,0,6
0,3414961068,217449,459,237673,28,8,94
1,3414961068,200309,457,226873,8,28,92
0,3414961082,177042,394,188515,22,24,86
1,3414961082,191438,404,196611,24,22,90
0,3414961103,114579,251,108685,22,10,76
1,3414961103,92729,229,93041,10,22,66
0,3414961124,130911,324,147404,12,14,76
1,3414961124,136529,324,145155,14,12,80
0,3414961144,50257,137,47296,2,10,54
1,3414961144,61365,150,52033,10,2,60
0,3414961165,42942,112,36108,4,10,54
1,3414961165,50121,119,41027,10,4,54
0,3414961166,188763,421,204914,14,30,84
1,3414961166,223343,467,240336,30,14,94
0,3414961170,83424,210,83045,12,20,68
1,3414961170,97110,217,90127,20,12,72
0,3414961198,50207,122,40478,12,2,56
1,3414961198,43225,111,35550,2,12,54
0,3414961207,190044,385,190971,38,22,92
1,3414961207,176200,371,174920,22,38,86
0,3414961210,153711,365,171680,18,14,86
1,3414961210,157044,357,167443,14,18,84
0,3414961217,127101,310,137984,10,16,78
1,3414961217,156083,323,148779,16,10,80
0,3414961221,236522,509,267810,32,30,98
1,3414961221,248689,524,277774,30,32,102
0,3414961225,85970,231,92951,2,12,68
1,3414961225,108261,252,108836,12,2,76
0,3414961231,97912,244,102225,8,12,70
1,3414961231,109851,251,109505,12,8,74
0,3414961232,251208,563,298250,10,26,98
1,3414961232,265152,575,310928,26,10,100
0,3414961237,163086,360,168443,14,32,82
1,3414961237,178694,377,181376,32,14,92
0,3414961238,91860,207,83344,18,14,72
1,3414961238,88869,206,82355,14,18,66
0,3414961252,81425,210,84190,4,2,72
1,3414961252,74648,203,77189,2,4,68
0,3414961261,108307,248,106105,16,8,76
1,3414961261,99748,251,106107,8,16,74
0,3414961263,163974,372,177356,10,14,90
1,3414961263,166061,374,177410,14,10,86
0,3414961267,139307,319,140994,14,12,80
1,3414961267,141934,326,149478,12,14,84
0,3414961297,234942,545,283963,20,26,100
1,3414961297,276463,573,310992,26,20,102
0,3414961305,100857,230,90385,10,18,70
1,3414961305,102360,235,93474,18,10,68
0,3414961306,193722,427,216782,24,8,94
1,3414961306,176197,403,195744,8,24,86
0,3414961308,160547,357,162112,12,22,82
1,3414961308,174501,374,179444,22,12,88
0,3414961313,192587,371,175609,18,20,86
1,3414961313,174445,360,166610,20,18,88
0,3414961320,139737,358,169505,4,18,84
1,3414961320,173241,387,189591,18,4,92
0,3414961330,272235,514,272642,34,30,96
1,3414961330,273977,518,275700,30,34,102
0,3414961334,261541,527,281848,30,16,104
1,3414961334,230295,507,272007,16,30,98
0,3414961336,171023,397,189916,14,12,80
1,3414961336,164944,408,195399,12,14,86
0,3414961356,62915,164,61450,2,16,58
1,3414961356,71279,174,64339,16,2,62
0,3414961360,234070,514,268863,24,16,104
1,3414961360,227971,502,254721,16,24,94
0,3414961361,317465,589,321244,34,28,104
1,3414961361,290151,587,317746,28,34,102
0,3414961375,162598,380,173880,12,16,80
1,3414961375,195502,427,215874,16,12,90
0,3414961381,128974,304,141583,12,0,86
1,3414961381,114568,296,132019,0,12,78
0,3414961404,197313,406,196508,26,24,88
1,3414961404,191488,404,200770,24,26,88
0,3414961417,63560,178,66257,2,2,64
1,3414961417,63843,177,68339,2,2,62
0,3414961420,315703,589,312526,30,36,104
1,3414961420,307521,594,318526,36,30,100
0,3414961425,42962,114,36180,4,8,50
1,3414961425,45817,116,37645,8,4,52
0,3414961426,112709,253,108295,16,6,78
1,3414961426,94633,240,99058,6,16,74
0,3414961430,80980,206,80873,6,6,66
1,3414961430,89147,222,90358,6,6,72
0,3414961443,169933,414,202836,14,28,88
1,3414961443,196063,410,198936,28,14,88
0,3414961446,81390,206,81544,4,12,68
1,3414961446,96139,218,91268,12,4,72
0,3414961465,155425,320,144321,16,20,82
1,3414961465,147492,328,152729,20,16,84
0,3414961466,232959,506,261690,16,16,94
1,3414961466,232174,501,258500,16,16,96
0,3414961468,205457,452,224772,16,16,90
1,3414961468,203802,460,231311,16,16,92
0,3414961470,253771,542,283080,26,22,106
1,3414961470,265527,556,294957,22,26,100
0,3414961477,95010,239,98977,8,4,70
1,3414961477,93557,238,97584,4,8,70
0,3414961501,104048,249,106344,12,16,72
1,3414961501,106100,248,106654,16,12,72
0,3414961507,147772,319,142370,20,10,78
1,3414961507,127605,311,135836,10,20,78
0,3414961543,176075,362,167055,36,16,82
1,3414961543,157164,341,154261,16,36,80
0,3414961554,428637,823,503966,36,30,120
1,3414961554,426288,796,481299,30,36,118
0,3414961556,162161,368,176037,18,22,86
1,3414961556,167339,363,169964,22,18,86
0,3414961566,198395,459,235372,18,16,96
1,3414961566,211707,473,240184,16,18,90
0,3414961569,169598,373,178683,14,18,86
1,3414961569,166952,377,181212,18,14,90
0,3414961580,50646,117,39268,16,6,54
1,3414961580,44353,107,33352,6,16,46
0,3414961581,86240,213,85454,12,16,70
1,3414961581,96335,216,89170,16,12,70
0,3414961589,282659,609,339284,18,24,106
1,3414961589,285545,597,322963,24,18,102
0,3414961595,201730,413,203529,26,20,90
1,3414961595,202657,417,203445,20,26,92
0,3414961598,184702,439,215745,22,34,92
1,3414961598,231762,473,242435,34,22,100
0,3414961599,398784,741,442574,30,26,120
1,3414961599,354136,712,407155,26,30,110
0,3414961606,75192,173,65697,14,14,62
1,3414961606,77272,173,65673,14,14,60
0,3414961617,400466,715,414746,46,30,112
1,3414961617,343020,663,355494,30,46,102
0,3414961628,386847,807,470917,26,42,112
1,3414961628,441933,833,501722,42,26,116
0,3414961636,167110,377,182230,20,12,86
1,3414961636,147264,360,168482,12,20,86
0,3414961637,39652,105,33081,2,10,48
1,3414961637,47466,116,38319,10,2,54
0,3414961640,340400,702,397972,24,36,110
1,3414961640,374833,734,441051,36,24,118
0,3414961647,196546,408,198340,24,20,88
1,3414961647,195994,408,197064,20,24,86
0,3414961652,405428,768,450614,42,50,114
1,3414961652,421826,783,460094,50,42,116
0,3414961656,240367,501,258053,16,12,98
1,3414961656,223038,511,266241,12,16,98
0,3414961660,50353,108,35945,16,2,54
1,3414961660,41615,104,30560,2,16,46
0,3414961689,194207,424,209766,20,14,90
1,3414961689,173003,393,189267,14,20,90
0,3414961694,253455,533,274357,18,32,96
1,3414961694,296715,561,298649,32,18,102
0,3414961710,340774,671,384070,36,34,110
1,3414961710,329757,669,386508,34,36,110
0,3414961711,220890,501,257664,10,18,96
1,3414961711,255706,511,269022,18,10,102
0,3414961717,180962,409,198297,16,22,90
1,3414961717,209001,425,214823,22,16,96
0,3414961722,166787,362,169352,16,26,84
1,3414961722,181531,374,181140,26,16,92
0,3414961723,183837,385,190413,26,14,88
1,3414961723,156868,354,166571,14,26,86
0,3414961726,142939,316,141878,18,24,78
1,3414961726,150428,334,151389,24,18,84
0,3414961733,303775,585,313434,36,46,104
1,3414961733,313934,594,322359,46,36,108
0,3414961738,159352,367,174507,14,6,88
1,3414961738,149155,368,174778,6,14,84
0,3414961739,138797,305,128628,12,30,74
1,3414961739,155242,309,138603,30,12,80
0,3414961740,155163,286,122820,36,22,78
1,3414961740,131048,279,122136,22,36,76
0,3414961746,217815,476,246948,20,10,96
1,3414961746,196193,462,229122,10,20,94
0,3414961758,106011,254,109079,10,8,74
1,3414961758,104464,240,98605,8,10,72
0,3414961766,47794,110,34127,12,2,54
1,3414961766,41683,112,34937,2,12,52
0,3414961776,192433,398,194059,24,40,88
1,3414961776,218542,424,215268,40,24,94
0,3414961786,183110,418,204034,8,24,86
1,3414961786,194294,418,208332,24,8,90
0,3414961791,191535,386,188483,32,24,90
1,3414961791,174859,379,184361,24,32,88
0,3414961796,126932,289,129268,16,12,78
1,3414961796,115899,274,115635,12,16,74
0,3414961805,170028,368,175328,20,10,88
1,3414961805,154173,371,175379,10,20,86
0,3414961815,96413,245,103170,6,4,72
1,3414961815,100665,248,102633,4,6,72
0,3414961824,160431,370,172649,14,20,84
1,3414961824,170875,384,190769,20,14,92
0,3414961825,136080,289,127113,18,26,78
1,3414961825,133929,290,127971,26,18,80
0,3414961831,93250,245,101520,8,22,72
1,3414961831,111062,263,116704,22,8,78
0,3414961835,255060,534,276755,22,38,100
1,3414961835,313395,575,312378,38,22,102
0,3414961844,165688,362,169376,16,26,84
1,3414961844,172414,365,169943,26,16,88
0,3414961845,116613,251,105728,14,14,70
1,3414961845,96425,244,101514,14,14,70
0,3414961846,240579,519,280039,28,16,102
1,3414961846,231842,511,265625,16,28,96
0,3414961870,231916,517,269084,16,22,94
1,3414961870,230131,510,263543,22,16,98
0,3414961874,118560,273,115366,16,12,74
1,3414961874,123275,291,129629,12,16,80
0,3414961877,163422,388,187417,20,10,88
1,3414961877,149754,366,173582,10,20,84
0,3414961884,266517,559,298102,32,38,102
1,3414961884,283636,551,293297,38,32,98
0,3414961915,227628,452,226340,40,22,96
1,3414961915,223147,457,227995,22,40,88
0,3414961945,77118,205,79084,6,8,60
1,3414961945,86270,212,87842,8,6,70
0,3414961958,228409,472,240107,34,18,98
1,3414961958,219145,448,222175,18,34,90
0,3414961959,171717,375,179325,18,18,88
1,3414961959,157516,359,169072,18,18,82
0,3414961962,181992,431,213635,14,16,92
1,3414961962,186992,437,223431,16,14,94
0,3414961966,156721,363,173082,18,12,86
1,3414961966,159428,364,168940,12,18,82
0,3414961973,137780,319,147992,16,20,82
1,3414961973,154430,330,150942,20,16,82
0,3414961982,80390,211,85273,10,8,68
1,3414961982,85612,215,86962,8,10,70
0,3414961983,263353,551,291326,30,34,98
1,3414961983,262023,548,288319,34,30,100
0,3414961991,398704,707,405270,34,32,110
1,3414961991,388990,708,401548,32,34,112
0,3414961996,123553,288,126616,14,2,80
1,3414961996,107723,272,116952,2,14,72
0,3414962016,209536,422,214494,22,8,92
1,3414962016,169444,390,184162,8,22,86
0,3414962031,302516,618,345192,30,18,110
1,3414962031,273822,621,340257,18,30,106
0,3414962032,127024,327,149145,4,20,80
1,3414962032,135666,327,150937,20,4,86
0,3414962061,206952,421,214084,32,28,96
1,3414962061,193501,404,195307,28,32,88
0,3414962066,194231,392,195289,30,22,94
1,3414962066,181108,378,179505,22,30,90
0,3414962070,138197,318,143549,20,24,80
1,3414962070,154904,323,147333,24,20,80
0,3414962078,184023,386,178258,16,34,82
1,3414962078,210458,402,196146,34,16,88
0,3414962082,111363,259,111680,22,18,76
1,3414962082,107610,243,99117,18,22,70
0,3414962094,185840,406,197618,14,22,88
1,3414962094,202950,432,220003,22,14,98
0,3414962101,225099,515,268977,20,34,96
1,3414962101,245125,550,303104,34,20,104
0,3414962103,166796,347,170295,28,16,88
1,3414962103,142216,325,145873,16,28,82
0,3414962105,356704,674,380585,50,42,112
1,3414962105,351919,677,386807,42,50,110
0,3414962157,199870,383,182189,32,34,84
1,3414962157,177224,391,185155,34,32,84
0,3414962165,154105,328,143665,14,34,76
1,3414962165,194681,364,172263,34,14,86
0,3414962167,57030,144,51366,8,4,58
1,3414962167,51716,140,47860,4,8,54
0,3414962173,162979,357,164508,10,18,82
1,3414962173,172191,362,172196,18,10,88
0,3414962174,193371,429,219494,24,10,96
1,3414962174,177482,412,200772,10,24,88
0,3414962192,145943,319,142707,18,24,78
1,3414962192,151055,327,150095,24,18,82
0,3414962202,112155,275,115597,14,10,70
1,3414962202,126655,289,128971,10,14,80
0,3414962204,148933,331,154492,26,8,82
1,3414962204,129270,327,152625,8,26,80
0,3414962208,188432,403,194615,24,16,90
1,3414962208,161750,390,185972,16,24,88
0,3414962227,282330,541,297111,28,18,104
1,3414962227,252829,524,278944,18,28,100
0,3414962231,412367,805,491536,34,40,118
1,3414962231,413968,805,490910,40,34,124
0,3414962238,260162,566,308663,28,16,104
1,3414962238,256807,557,298407,16,28,100
0,3414962240,165472,375,181772,14,12,88
1,3414962240,149054,365,173604,12,14,88
0,3414962254,217597,470,241407,26,26,96
1,3414962254,217559,449,219501,26,26,90
0,3414962271,188984,367,171657,30,18,86
1,3414962271,172350,365,169577,18,30,82
0,3414962272,160427,383,187104,18,14,90
1,3414962272,152940,358,169105,14,18,84
0,3414962273,253809,510,266224,26,14,96
1,3414962273,244470,518,270895,14,26,98
0,3414962290,146261,321,149285,26,22,86
1,3414962290,154546,329,152593,22,26,80
0,3414962293,47411,120,39160,12,2,56
1,3414962293,43512,113,35495,2,12,50
0,3414962294,5000,10,0,0,0,4
1,3414962294,5000,10,0,0,0,10
0,3414962307,236180,507,263777,34,24,98
1,3414962307,253783,511,264989,24,34,98
0,3414962309,407011,727,410322,48,46,110
1,3414962309,435117,747,428885,46,48,108
0,3414962326,190303,410,196702,20,20,90
1,3414962326,199305,419,204834,20,20,90
0,3414962360,154223,361,170407,12,14,82
1,3414962360,155570,367,172063,14,12,86
0,3414962362,115610,281,120088,8,18,74
1,3414962362,136100,302,137031,18,8,82
0,3414962368,115270,208,81521,22,18,72
1,3414962368,101229,197,74809,18,22,64
0,3414962384,81578,211,84933,6,8,70
1,3414962384,86324,203,78662,8,6,64
0,3414962388,111067,272,115849,10,28,74
1,3414962388,143426,296,133302,28,10,82
0,3414962398,198261,413,206192,26,26,88
1,3414962398,192679,411,200655,26,26,90
0,3414962404,229611,465,236706,28,26,98
1,3414962404,222133,478,247373,26,28,100
0,3414962405,176172,375,181763,18,4,90
1,3414962405,142988,353,163217,4,18,84
0,3414962406,168369,372,177847,20,14,84
1,3414962406,160694,372,179962,14,20,86
0,3414962408,329079,662,373319,34,20,108
1,3414962408,284995,653,360421,20,34,102
0,3414962412,158656,365,174577,16,24,88
1,3414962412,171960,373,180848,24,16,90
0,3414962415,147126,333,154350,20,14,84
1,3414962415,140571,331,152408,14,20,82
0,3414962416,102884,247,103900,18,8,76
1,3414962416,91853,236,94596,8,18,70
0,3414962426,74184,198,75286,0,8,64
1,3414962426,94673,220,91646,8,0,70
0,3414962431,5000,10,0,0,0,6
1,3414962431,5000,10,0,0,0,2
0,3414962440,93717,227,87633,10,14,68
1,3414962440,100495,241,101117,14,10,72
0,3414962458,476920,879,547594,38,30,122
1,3414962458,414600,832,500258,30,38,118
0,3414962462,209311,468,240060,18,20,98
1,3414962462,212243,472,243239,20,18,100
0,3414962464,56207,148,52807,6,0,60
1,3414962464,52351,143,50888,0,6,58
0,3414962467,78071,207,79384,4,12,70
1,3414962467,86055,214,84642,12,4,70
0,3414962470,194847,417,200428,42,24,90
1,3414962470,192898,413,201787,24,42,88
0,3414962496,266094,542,281246,26,46,94
1,3414962496,274360,555,303531,46,26,104
0,3414962519,175339,406,195560,12,18,86
1,3414962519,181032,419,208255,18,12,90
0,3414962520,66226,170,62626,4,12,60
1,3414962520,74190,183,68895,12,4,64
0,3414962522,414973,773,447033,28,36,108
1,3414962522,402053,782,461843,36,28,114
0,3414962541,80257,209,80745,4,16,66
1,3414962541,96847,225,95223,16,4,74
0,3414962544,356241,668,376416,30,60,110
1,3414962544,384254,699,413233,60,30,120
0,3414962545,199227,402,194481,14,22,86
1,3414962545,200145,412,205182,22,14,96
0,3414962554,5000,10,0,0,0,6
1,3414962554,5000,10,0,0,0,0
0,3414962556,185740,383,189477,32,12,90
1,3414962556,147245,342,154468,12,32,80
0,3414962568,135823,351,159960,6,20,84
1,3414962568,187721,387,191017,20,6,88
0,3414962570,167783,374,180399,24,28,88
1,3414962570,162683,372,178511,28,24,88
0,3414962573,262478,543,284446,28,30,96
1,3414962573,279653,560,294917,30,28,96
0,3414962574,88983,213,84565,10,12,68
1,3414962574,85124,208,81862,12,10,66
0,3414962577,160560,394,183467,14,34,86
1,3414962577,185820,418,211602,34,14,90
0,3414962604,160844,343,154928,24,18,76
1,3414962604,147369,337,149098,18,24,76
0,3414962605,217396,476,246220,18,6,94
1,3414962605,196091,470,236083,6,18,96
0,3414962608,135557,288,127300,28,18,82
1,3414962608,118658,269,113694,18,28,74
0,3414962615,133772,332,152766,8,8,82
1,3414962615,134058,341,156493,8,8,86
0,3414962617,262489,558,297968,22,18,102
1,3414962617,264447,551,287324,18,22,100
0,3414962623,173390,394,188480,14,20,86
1,3414962623,201817,437,225002,20,14,96
0,3414962629,270562,513,278813,34,18,98
1,3414962629,229380,505,261831,18,34,96
0,3414962632,303566,624,345811,32,24,110
1,3414962632,327632,623,342463,24,32,104
0,3414962633,157270,359,163204,12,26,80
1,3414962633,164781,341,153411,26,12,80
0,3414962657,51307,114,36517,14,2,52
1,3414962657,39430,100,29117,2,14,46
0,3414962658,206046,421,209522,26,18,90
1,3414962658,188751,418,204453,18,26,90
0,3414962671,265580,603,325429,10,42,100
1,3414962671,323507,640,367248,42,10,116
0,3414962673,82088,198,75402,12,18,64
1,3414962673,88276,204,80788,18,12,66
0,3414962685,331605,680,388468,16,42,110
1,3414962685,385717,688,400781,42,16,114
0,3414962697,133687,315,139272,10,24,78
1,3414962697,160429,347,165233,24,10,86
0,3414962698,92301,240,102352,6,12,70
1,3414962698,103901,246,102589,12,6,76
0,3414962702,206513,417,209495,36,30,92
1,3414962702,219518,440,229718,30,36,96
0,3414962703,164073,384,180981,12,24,82
1,3414962703,167106,412,199540,24,12,90
0,3414962711,225873,496,252182,16,30,94
1,3414962711,271444,511,273124,30,16,98
0,3414962723,132965,335,155086,12,6,86
1,3414962723,135220,314,136954,6,12,76
0,3414962744,153771,350,156345,12,22,80
1,3414962744,175734,373,179972,22,12,86
0,3414962751,123714,309,137058,2,14,78
1,3414962751,146089,325,149798,14,2,80
0,3414962771,105784,259,106392,8,22,68
1,3414962771,135292,296,132846,22,8,82
0,3414962784,170718,374,179457,14,8,88
1,3414962784,150030,356,163278,8,14,82
0,3414962797,149279,323,153419,18,20,76
1,3414962797,175163,383,188054,20,18,90
0,3414962819,133920,278,120255,12,30,72
1,3414962819,137523,289,128220,30,12,82
0,3414962825,208146,480,237730,12,26,90
1,3414962825,231683,524,275072,26,12,100
0,3414962836,168472,395,194290,20,10,92
1,3414962836,157051,380,178333,10,20,86
0,3414962837,161175,384,185353,14,0,88
1,3414962837,144651,357,165540,0,14,82
0,3414962840,148056,366,169205,8,20,84
1,3414962840,174559,384,187081,20,8,90
0,3414962849,59900,152,55848,10,4,60
1,3414962849,53319,146,52052,4,10,58
0,3414962883,134182,299,133360,18,8,82
1,3414962883,114711,275,120196,8,18,74
0,3414962884,130842,317,141933,10,22,78
1,3414962884,148897,331,153758,22,10,86
0,3414962885,170084,368,175499,24,32,86
1,3414962885,184436,367,179734,32,24,92
0,3414962901,195222,444,216404,14,22,92
1,3414962901,209577,463,233329,22,14,94
0,3414962902,132684,289,130427,20,18,82
1,3414962902,114942,251,107129,18,20,76
0,3414962910,149087,321,147171,18,20,82
1,3414962910,145170,317,142582,20,18,84
0,3414962911,128480,288,130384,20,8,82
1,3414962911,104187,271,114534,8,20,74
0,3414962923,302401,557,299442,48,40,104
1,3414962923,296813,541,286007,40,48,100
0,3414962936,268588,561,299318,22,16,102
1,3414962936,241269,554,294111,16,22,102
0,3414962943,76292,181,69020,18,0,66
1,3414962943,62622,171,63250,0,18,58
0,3414962962,127108,280,119860,14,20,76
1,3414962962,122802,280,121539,20,14,78
0,3414962979,82800,204,80411,8,14,64
1,3414962979,91743,213,85526,14,8,68
0,3414962984,73892,179,66844,8,14,64
1,3414962984,77921,180,69925,14,8,64
0,3414962992,193292,426,215654,16,28,92
1,3414962992,197138,429,216507,28,16,98
0,3414962996,151284,328,149866,18,20,82
1,3414962996,145838,331,156011,20,18,88
0,3414963004,169486,372,175327,24,18,88
1,3414963004,154428,369,175479,18,24,88
0,3414963006,206643,442,219206,18,26,94
1,3414963006,241338,469,240410,26,18,94
0,3414963011,146532,361,171312,10,18,84
1,3414963011,165807,375,183599,18,10,90
0,3414963012,134201,330,145663,4,16,82
1,3414963012,142142,325,146646,16,4,84
0,3414963020,229932,462,236537,28,16,94
1,3414963020,212028,467,241591,16,28,94
0,3414963023,229613,471,245184,26,24,98
1,3414963023,221352,457,228764,24,26,94
0,3414963033,230203,458,235942,22,30,94
1,3414963033,224232,451,227861,30,22,96
0,3414963046,145921,331,154796,18,14,82
1,3414963046,131354,332,153545,14,18,88
0,3414963079,332301,653,362145,36,36,104
1,3414963079,348834,645,349124,36,36,106
0,3414963090,105943,250,105455,10,8,72
1,3414963090,101726,251,107515,8,10,76
0,3414963105,261796,523,279726,20,26,100
1,3414963105,227859,504,263164,26,20,100
0,3414963107,311128,640,362617,20,14,108
1,3414963107,314029,629,352864,14,20,106
0,3414963108,116592,278,119115,8,6,74
1,3414963108,101138,266,109607,6,8,72
0,3414963129,129124,295,135010,26,14,82
1,3414963129,117379,278,120486,14,26,74
0,3414963133,81711,213,84528,4,6,68
1,3414963133,78395,211,85582,6,4,70
0,3414963139,154909,328,149939,34,20,86
1,3414963139,142475,318,142133,20,34,78
0,3414963146,291487,581,323666,24,22,106
1,3414963146,274093,579,313580,22,24,106
0,3414963151,49001,119,39007,12,2,56
1,3414963151,41025,112,33341,2,12,48
0,3414963156,201068,460,229495,16,18,90
1,3414963156,193512,459,236352,18,16,96
0,3414963159,232263,533,287948,20,18,106
