,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,highestAchievedSeasonTier,role,lane
0,1,True,3146,3089,3157,3165,1082,3020,3363,18,11,7,6,3,4,262,5,1,0,0,0,163278,134117,11706,17454,0,37946,33914,2678,1354,9874,1,20541,1604,1604,16,4,32964,12984,18818,1162,16025,15000,1,0,149,8,8,0,28,16,2,0,10,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,2905,0,0,8143,1283,0,0,8138,30,0,0,8135,4251,5,0,9111,962,500,0,8014,996,0,0,8100,8000,5008,5008,5003,,SOLO,MIDDLE
1,2,True,3107,3117,3857,2055,3105,3050,3364,1,6,17,0,1,0,525,0,0,0,0,0,28690,14775,7534,6381,0,7000,4840,883,1276,2898,2,19103,2697,2519,66,29,18291,8785,8919,587,8704,8250,1,0,43,0,0,0,115,14,10,0,28,13,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,212,0,0,8446,1446,0,0,8473,426,0,0,8242,11,0,0,9111,1381,360,0,9105,17,10,0,8400,8000,5008,5002,5002,,DUO_SUPPORT,BOTTOM
2,3,True,3074,3078,1055,3111,3812,0,3340,6,3,13,4,2,1,796,1,0,0,0,0,193780,1734,170449,21595,668,29990,1184,23638,5166,10528,1,36235,9876,9876,19,16,36454,16255,16908,3291,14539,12658,5,2,219,15,0,11,142,18,3,0,13,1,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1549,0,0,9111,2163,380,0,9104,22,50,0,8014,559,0,0,8446,2339,0,0,8473,547,0,0,8000,8400,5005,5008,5003,,SOLO,TOP
3,4,True,3124,3031,3140,3042,3046,3006,3364,11,4,13,8,2,2,868,2,0,0,0,0,174193,17549,154100,2544,832,24778,5228,18273,1276,5034,3,10429,9266,8218,11,8,19679,8420,10739,520,15489,14550,2,1,197,36,24,9,95,16,0,0,5,0,True,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,56,84,0,8139,786,0,0,8138,18,0,0,8135,2752,5,0,8009,5209,500,0,9103,26,0,0,8100,8000,5005,5008,5002,,DUO_CARRY,BOTTOM
4,5,True,1419,3124,3153,3111,1042,1031,3340,4,5,4,3,1,1,780,0,0,0,0,0,207286,5856,180856,20573,0,8729,353,6497,1878,10799,1,15846,36092,3810,26,2,26147,8274,17314,558,11833,11450,2,0,50,161,98,18,176,15,1,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,398,0,0,9111,447,160,0,9104,15,0,0,8014,217,0,0,8143,99,0,0,8135,5089,4,0,8000,8100,5005,5008,5002,,NONE,JUNGLE
5,6,False,3076,2033,3194,3068,1033,3047,3364,1,7,10,0,1,0,611,0,0,0,0,0,117819,95852,20095,1871,21,14720,12683,1862,175,10188,1,38099,3231,1206,18,52,31884,7542,19399,4943,9020,8900,0,0,164,0,0,0,457,15,4,0,4,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,708,0,0,8446,942,0,0,8444,1205,0,0,8453,770,0,0,8345,3,0,0,8352,304,1517,1012,8400,8300,5007,5002,5002,,SOLO,TOP
6,7,False,3042,3157,3047,3025,1055,0,3363,2,7,10,0,1,0,717,0,0,0,0,0,120183,25499,89047,5635,0,20179,7945,11735,497,3076,4,10369,5355,2330,20,6,18858,9133,8374,1350,10314,9575,1,0,156,4,4,0,221,14,3,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,20,0,9111,642,240,0,9104,16,40,0,8014,286,0,0,8313,0,0,0,8347,0,0,0,8000,8300,5007,5008,5002,,DUO_CARRY,BOTTOM
7,8,False,3905,2065,1052,3853,3111,3145,3364,4,8,13,0,1,0,388,0,0,0,0,0,48380,43012,4721,647,0,11885,9975,1263,647,8354,4,7814,385,72,63,32,21198,8737,10950,1510,9417,8035,0,0,40,0,0,0,237,14,9,0,34,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,22,0,0,8304,9,4,5,8345,3,0,0,8347,0,0,0,8226,250,824,0,8210,0,0,0,8300,8200,5007,5008,5002,,DUO_SUPPORT,BOTTOM
8,9,False,1416,3147,3091,3044,3814,3111,3364,12,9,6,3,1,3,341,0,0,0,0,0,170405,14069,148725,7609,0,23606,3164,18309,2132,10046,1,20044,16986,0,27,182,33904,10006,22564,1334,14086,13825,0,0,72,90,66,4,503,16,0,0,3,9,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,0,0,9111,864,360,0,9103,20,30,0,8014,706,0,0,8139,1205,0,0,8106,5,0,0,8000,8100,5005,5008,5002,,NONE,JUNGLE
9,10,False,3285,3089,1082,3165,3020,3108,3364,10,9,7,3,1,3,454,0,0,0,0,0,119915,99126,14111,6677,0,21389,18139,1897,1352,7497,1,11996,4012,2117,33,21,31802,12920,17068,1813,13362,13025,1,0,181,8,8,0,39,16,5,0,10,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,2004,0,0,8139,1359,0,0,8120,1,14,6,8135,3280,4,0,8345,3,0,0,8352,339,2147,1184,8100,8300,5008,5008,5003,,SOLO,MIDDLE
0,1,False,3095,1038,2031,3047,1055,0,3363,3,4,1,3,1,1,527,0,0,0,0,0,57791,1728,54553,1510,585,7024,434,6589,0,911,2,2713,889,889,5,8,6616,2072,3903,640,6573,6425,0,0,128,0,0,0,47,10,1,0,5,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,325,0,0,9111,93,80,0,9103,0,0,0,8014,112,0,0,8275,5,0,0,8236,14,0,0,8000,8200,5008,5008,5003,,DUO_CARRY,BOTTOM
1,2,False,1419,2031,1043,3144,0,0,3340,2,7,0,2,2,1,438,1,0,0,0,0,96884,2808,88611,5463,0,7244,74,5250,1918,5568,1,10507,10047,0,12,4,18028,3495,13944,588,6165,5375,0,0,15,96,74,0,148,10,0,0,6,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,427,0,0,9111,90,40,0,9104,17,50,0,8014,112,0,0,8429,41,13,12,8451,92,0,0,8000,8400,5005,5003,5002,,NONE,JUNGLE
2,3,False,3859,0,0,3044,3067,3047,3364,1,4,3,0,1,0,329,0,0,0,0,0,13764,1388,8186,4190,0,3642,746,2356,540,0,0,3973,982,982,23,8,7638,1196,5753,688,4546,3600,0,0,24,0,0,0,33,8,2,0,8,5,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,197,0,0,8226,250,25,0,8210,0,0,0,8236,14,0,0,8304,10,3,0,8347,0,0,0,8200,8300,5007,5008,5001,,DUO_SUPPORT,BOTTOM
3,4,False,3802,3152,2033,1001,0,0,3340,1,4,0,0,1,0,431,0,0,0,0,0,46903,36369,6843,3689,0,6110,5551,558,0,3878,1,6142,2450,146,20,11,12687,3562,9040,84,5429,4750,0,0,115,0,0,0,237,12,2,0,7,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,156,0,0,9111,24,20,0,9105,0,0,0,8299,178,0,0,8345,3,0,0,8352,76,532,323,8000,8300,5008,5008,5003,,SOLO,TOP
4,5,False,1056,3020,2003,3285,1052,0,3340,2,4,0,2,1,1,369,0,0,0,0,0,65040,57392,7647,0,0,7979,7037,941,0,400,1,4492,192,192,11,12,8166,3592,4092,481,6322,5460,0,0,138,0,0,0,204,12,1,0,5,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,644,88,0,8226,250,527,0,8234,4784,0,0,8236,24,0,0,8139,467,0,0,8106,1,0,0,8200,8100,5008,5008,5002,,SOLO,MIDDLE
5,6,True,1054,2031,3379,3373,3076,1001,3340,5,1,3,5,2,1,419,1,0,0,0,0,75141,20722,48888,5530,0,9602,4468,5134,0,1923,1,8826,4641,4641,12,23,10889,5325,4859,704,8155,7775,1,0,126,4,0,4,358,13,1,0,6,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,626,470,0,8446,2290,0,0,8473,331,0,0,8451,195,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5003,,SOLO,TOP
6,7,True,3855,3050,2055,1031,3067,3117,3364,5,1,10,3,2,2,350,1,0,0,0,0,27933,8573,10563,8797,0,7511,3240,3651,620,1963,1,7831,1307,1307,23,23,8280,709,6780,791,6976,5950,1,0,42,0,0,0,88,11,6,0,12,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,336,0,0,8446,836,0,0,8473,227,0,0,8451,131,0,0,8352,140,712,0,8313,0,0,0,8400,8300,5007,5008,5002,,DUO_SUPPORT,BOTTOM
7,8,True,3153,1043,1055,2003,3006,0,3340,3,5,6,2,1,1,290,0,0,0,0,0,56249,265,45529,10454,0,6191,223,4826,1142,1552,2,3561,9038,3914,9,8,9667,884,7874,909,7257,6000,1,0,121,0,0,0,40,10,0,0,6,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,605,441,163,9111,505,180,0,9104,16,10,0,8014,83,0,0,8275,6,0,0,8236,14,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
8,9,True,0,2031,1400,3047,3071,1038,3340,6,0,7,6,1,1,0,0,0,0,0,0,120023,18529,87158,14335,0,7706,774,6354,577,5690,1,14165,30659,1388,14,11,14542,3030,11457,54,9383,8175,1,0,13,108,61,13,357,12,4,0,10,1,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,93,0,0,9111,477,260,0,9104,10,10,0,8014,198,0,0,8304,8,1,5,8347,0,0,0,8000,8300,5005,5008,5002,,NONE,JUNGLE
9,10,True,3146,2031,1054,1026,3916,3020,3340,4,2,4,3,1,1,370,0,0,0,0,0,85743,55776,21587,8379,0,5831,4286,1401,144,3395,1,5765,2615,2615,19,1,11833,5003,6829,0,8929,7750,2,0,151,8,4,0,37,13,2,0,8,1,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,168,0,0,8009,370,50,0,9105,15,0,0,8014,166,0,0,8139,483,0,0,8106,5,0,0,8000,8100,5008,5008,5003,,SOLO,MIDDLE
0,1,True,3285,3041,2031,3916,3020,3089,3340,17,3,6,11,2,3,486,2,0,0,0,0,133328,119372,7462,6493,0,33643,32380,800,462,2838,1,6481,5657,5657,17,33,14788,4575,10003,210,13152,11825,1,1,151,11,8,3,244,15,3,0,10,2,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1408,0,0,8139,948,0,0,8138,30,0,0,8106,5,0,0,8345,3,0,0,8352,177,1178,55,8100,8300,5007,5008,5003,,DUO,MIDDLE
1,2,True,3047,1053,3077,1055,3078,3123,3364,7,5,3,4,2,1,561,1,0,0,0,0,141697,3574,117847,20274,435,21841,1044,16902,3894,10090,7,22777,11499,9073,16,11,31177,16405,13860,911,11655,8708,5,2,155,21,4,13,139,15,2,0,6,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1296,0,0,9111,503,200,0,9103,0,0,0,8014,395,0,0,8453,1594,0,0,8473,971,0,0,8000,8400,5005,5008,5003,,DUO,MIDDLE
2,3,True,1401,3748,0,3091,3020,0,3340,6,1,9,5,1,1,1382,0,0,0,0,0,167649,66028,85474,16145,0,10633,5932,3754,946,18531,1,17336,41594,1014,33,18,30783,7932,22229,622,11516,10300,1,0,41,143,43,45,267,15,4,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,933,619,314,9111,515,300,0,9104,10,40,0,8299,213,0,0,8234,10593,0,0,8232,5,30,0,8000,8200,5005,5008,5002,,NONE,JUNGLE
3,4,True,2421,3174,3158,2055,3860,3108,3364,1,3,14,0,1,0,925,0,0,0,0,0,15929,6458,4662,4807,0,3087,2668,419,0,22351,5,3856,1926,1534,42,34,8549,5627,2806,116,6926,5425,0,0,27,0,0,0,130,12,3,0,17,4,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,0,0,0,8446,647,0,0,8444,686,0,0,8453,1732,36,0,8106,5,0,0,8136,6,12,0,8400,8100,5005,5008,5002,,DUO_SUPPORT,BOTTOM
4,5,True,3031,3111,3156,0,3095,0,3363,8,3,5,5,1,2,819,0,0,0,0,0,105246,1215,100463,3568,884,17874,453,17373,48,3426,3,15115,10330,6079,15,8,20021,11934,7602,484,11790,11625,4,0,154,4,0,4,77,12,1,0,7,2,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,531,391,139,9111,639,260,0,9104,13,30,0,8014,183,0,0,8275,9,0,0,8234,7938,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
5,6,False,1056,2033,0,3285,3198,1001,3340,2,7,4,2,1,1,555,0,0,0,0,0,103902,91892,12009,0,0,15986,14838,1148,0,1402,1,6915,2266,1697,7,12,16361,8750,7446,165,7848,7400,0,0,162,4,4,0,101,12,0,0,5,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,1019,0,0,8226,250,546,0,8233,12,50,0,8237,525,0,0,8345,3,0,0,8352,230,1100,774,8200,8300,5008,5008,5002,,DUO_CARRY,BOTTOM
6,7,False,2033,3157,3285,3020,0,0,3340,6,8,0,2,2,2,366,1,0,0,0,0,77584,65439,8180,3963,0,19920,18093,1109,717,9867,7,18924,458,458,13,18,27277,6696,17735,2845,9215,7850,0,0,145,1,1,0,269,13,2,0,6,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,932,0,0,8009,1208,500,0,9105,23,40,0,8299,792,0,0,8352,281,1640,1064,8345,3,0,0,8000,8300,5008,5008,5002,,DUO,TOP
7,8,False,2420,3071,2055,3134,1400,3047,3340,5,8,6,2,1,2,406,0,0,0,0,0,85782,22300,58666,4816,0,12723,1754,10461,508,4251,1,14145,2886,1017,20,16,24905,11813,12032,1060,9225,8850,1,0,30,63,61,0,190,12,7,0,13,2,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,251,0,0,9111,496,220,0,9104,19,10,0,8014,410,0,0,8304,10,3,0,8347,0,0,0,8000,8300,5005,5008,5002,,NONE,JUNGLE
8,9,False,1055,3071,2055,3006,0,3508,3340,1,9,6,0,1,0,192,0,0,0,0,0,68905,3021,62734,3150,378,10832,492,9909,430,700,1,4566,1273,859,21,0,16342,11192,4183,965,8320,8605,0,0,134,0,0,0,0,13,3,0,8,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,973,666,306,9111,235,140,0,9105,23,0,0,8014,119,0,0,8226,250,323,0,8210,12,0,0,8000,8200,5005,5008,5003,,DUO,TOP
9,10,False,3174,3117,3853,3802,0,1026,3364,1,7,7,0,1,0,350,0,0,0,0,0,37458,28888,4531,4038,0,9888,8280,919,688,1524,4,11452,1044,1044,27,21,15914,4804,10797,313,6270,6000,0,0,19,0,0,0,173,11,2,0,14,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,947,0,0,8226,250,405,0,8234,7213,0,0,8237,439,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5003,,DUO_SUPPORT,BOTTOM
0,1,False,3386,2055,1026,1414,3916,3020,3364,6,7,11,2,2,1,462,1,0,0,0,0,132418,94819,28388,9211,0,19941,18492,565,883,5717,1,11381,19119,1084,40,20,19495,4234,14096,1163,11225,9850,0,0,16,119,84,6,163,14,10,0,11,10,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1114,0,0,8126,431,0,0,8138,30,0,0,8105,13,4,0,8233,25,50,0,8232,7,0,0,8100,8200,5005,5008,5003,,NONE,JUNGLE
1,2,False,1053,3371,3046,3006,3123,3022,3340,7,7,6,3,2,2,737,1,0,0,0,0,208064,18896,188531,636,627,24683,1598,22449,636,5987,1,28504,8928,4429,30,29,28870,7869,18687,2313,14524,15440,1,0,249,12,8,0,179,17,2,0,12,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1748,0,0,9111,1182,260,0,9104,19,0,0,8014,498,0,0,8139,946,0,0,8135,1863,5,0,8000,8100,5005,5008,5003,,SOLO,MIDDLE
2,3,False,3109,3075,3373,3379,1011,3047,3364,7,6,8,4,1,2,1035,0,0,0,0,0,153245,85995,61912,5339,44,21682,13677,7956,49,2263,1,61475,11220,7331,18,35,38268,7457,27438,3372,13779,13300,4,0,199,8,8,0,458,16,0,0,9,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1610,1289,0,8446,5394,0,0,8429,65,26,17,8451,290,0,0,8304,10,3,0,8347,0,0,0,8400,8300,5008,5002,5001,,SOLO,TOP
3,4,False,3857,1028,2055,3109,3050,3117,3364,0,5,11,0,0,0,899,0,0,0,0,0,21112,9780,6865,4465,0,7449,5379,1429,640,1490,1,22332,1083,546,76,29,18274,4108,12515,1650,7440,7100,0,0,32,0,0,0,121,13,8,0,37,10,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,349,0,0,8446,409,0,0,8429,65,19,13,8451,186,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,,DUO_SUPPORT,BOTTOM
4,5,False,3389,3044,3006,3508,3031,1028,3363,5,6,10,2,2,1,827,1,0,0,0,0,207681,9218,192442,6020,931,20066,2401,17325,340,2622,4,10879,13202,2561,31,3,21103,4710,15805,588,14097,13675,1,0,209,41,27,8,76,15,5,0,13,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1282,604,678,8009,2436,500,0,9104,18,50,0,8014,556,0,0,8275,10,0,0,8236,28,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
5,6,True,3026,3076,3143,0,3111,3071,3364,3,6,15,0,1,0,384,0,0,0,0,0,138636,6845,130286,1504,14,17596,2292,15225,79,9154,1,29677,9486,5555,37,31,33018,12890,19481,646,12356,12875,3,1,188,1,0,0,226,16,8,0,14,8,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1314,0,0,9111,2529,360,0,9104,24,30,0,8299,603,0,0,8446,2375,0,0,8473,662,0,0,8000,8400,5008,5008,5003,,SOLO,TOP
6,7,True,3026,3508,3036,3047,3031,3094,3363,13,3,9,5,3,3,863,2,2,0,0,0,290986,6939,272714,11332,1005,44319,2818,39858,1643,3118,3,16554,27536,4671,65,20,15540,7087,8039,413,19027,18250,0,0,324,40,19,0,237,18,2,0,13,8,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1841,769,1071,9101,6650,6388,0,9103,24,30,0,8014,1100,0,0,8236,28,0,0,8275,9,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
7,8,True,3193,2055,3857,3109,3742,3009,3364,3,7,19,0,1,0,759,0,0,0,0,0,44411,830,28110,15470,0,17841,423,10843,6574,972,1,46971,3681,1276,68,30,30135,12337,16867,930,9910,9375,1,0,45,0,0,0,108,15,6,0,24,16,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8358,27,609,14,8306,20,0,0,8321,8,0,0,8347,0,0,0,8275,33,0,0,8234,16518,0,0,8300,8200,5005,5008,5002,,DUO_SUPPORT,BOTTOM
8,9,True,3100,1052,3157,1414,3158,3916,3364,3,2,17,2,1,1,764,0,0,0,0,0,235328,189151,32335,13842,0,12945,11645,962,338,20176,5,14645,28368,1853,36,1,25273,7889,17384,0,12699,12060,0,0,42,190,137,14,89,17,5,0,6,8,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,528,0,0,8143,302,0,0,8138,30,0,0,8105,16,5,0,8275,21,0,0,8233,24,40,0,8100,8200,5005,5008,5002,,NONE,JUNGLE
9,10,True,2033,3285,3152,3020,3165,0,3340,9,7,5,3,2,2,461,2,0,0,0,0,122428,109405,9604,3418,0,11517,10293,771,453,6339,1,16319,5565,1452,29,14,26777,6240,19978,558,12604,10950,1,0,143,20,16,0,339,16,4,0,15,0,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,227,0,0,9111,1082,280,0,9105,27,30,0,8299,332,0,0,8345,3,0,0,8352,250,1672,801,8000,8300,5008,5008,5002,,SOLO,MIDDLE
0,1,False,1054,3113,2055,3108,1058,3111,3340,1,7,0,0,1,0,414,0,0,0,0,0,46227,39677,6426,124,0,6223,5622,476,124,6235,1,6321,0,0,11,2,16861,11164,4338,1357,5843,7270,0,0,101,0,0,0,61,11,3,0,5,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,401,0,0,8126,124,0,0,8138,2,0,0,8106,1,0,0,8275,6,0,0,8237,268,0,0,8100,8200,5007,5003,5002,,SOLO,MIDDLE
1,2,False,1055,2031,3067,3211,3111,3078,3340,1,2,0,0,1,0,1105,0,0,0,0,0,92020,52,84499,7467,0,8899,52,7453,1392,1191,1,7561,2046,2046,15,12,12280,6101,4700,1478,8092,7558,1,0,196,0,0,0,100,13,1,0,5,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,591,0,0,9111,36,20,0,9104,0,0,0,8299,276,0,0,8275,4,0,0,8234,6587,0,0,8000,8200,5005,5008,5003,,SOLO,TOP
2,3,False,3860,3050,3117,0,2003,0,3364,1,2,1,0,1,0,680,0,0,0,0,0,13314,3560,4004,5749,0,3060,1957,664,438,397,1,7382,0,0,22,25,9008,5413,3322,272,4935,4050,0,0,28,0,0,0,99,10,2,0,13,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,83,0,0,8446,0,0,0,8473,413,0,0,8451,127,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5005,5002,5001,,DUO_SUPPORT,BOTTOM
3,4,False,1412,2031,2422,3044,3067,0,3340,0,3,0,0,0,0,609,0,0,0,0,0,79967,14505,58382,7080,0,2068,298,1770,0,4677,1,9787,2314,0,10,4,16429,7339,8754,335,5755,4825,0,0,14,86,77,0,331,10,0,0,7,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,28,0,0,9111,0,0,0,9105,0,0,0,8014,0,0,0,8304,12,0,0,8347,0,0,0,8000,8300,5008,5008,5002,,NONE,JUNGLE
4,5,False,1055,3006,3087,1038,1037,1018,3340,1,3,1,0,1,0,849,0,0,0,0,0,82295,17069,61025,4200,386,5450,1549,3900,0,2393,3,8742,0,0,8,10,11038,4571,5754,713,7298,7325,0,0,167,5,5,0,55,11,0,0,7,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,240,0,0,9111,165,40,0,9104,0,0,0,8014,94,0,0,8139,254,0,0,8135,497,1,0,8000,8100,5005,5008,5002,,DUO_CARRY,BOTTOM
5,6,True,2033,3041,3285,3020,1058,3165,3340,8,0,6,8,1,1,0,0,0,0,0,0,151223,126126,15635,9460,0,21069,16526,1805,2737,4439,1,4469,5845,5845,7,36,9964,2232,7245,486,12469,10960,2,0,215,8,8,0,112,15,1,0,5,0,True,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,867,0,0,8139,855,0,0,8138,30,0,0,8135,2266,5,0,8345,3,0,0,8352,224,1186,816,8100,8300,5008,5008,5003,,SOLO,MIDDLE
6,7,True,3042,2031,1055,3158,3057,3024,3340,3,0,2,3,1,1,0,0,0,0,0,0,46582,5896,40686,0,0,5804,1772,4032,0,1020,3,2293,3338,1344,19,0,5037,1688,3278,70,6982,5975,0,0,108,0,0,0,0,11,1,0,7,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,8009,1703,500,0,9103,0,0,0,8014,105,0,0,8226,250,409,0,8234,4906,0,0,8000,8200,5008,5008,5002,,DUO_CARRY,BOTTOM
7,8,True,1414,2031,3020,3057,3113,0,3364,2,1,8,2,1,1,1057,0,0,0,0,0,119070,88812,21176,9081,0,11520,10352,736,431,10046,3,7921,7442,395,21,3,17885,6138,11724,22,7667,5725,0,0,11,128,92,8,145,12,1,0,1,6,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,745,0,0,8143,350,0,0,8138,30,0,0,8105,16,5,0,8275,17,0,0,8232,4,40,0,8100,8200,5005,5008,5002,,NONE,JUNGLE
8,9,True,3857,3117,3179,3134,1036,0,3340,3,2,4,2,1,1,847,0,0,0,0,0,22464,150,15358,6955,0,4495,150,3356,988,1217,1,4696,1969,512,20,13,6616,1261,4987,368,6753,5350,1,0,33,4,0,0,41,10,0,0,10,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,150,0,0,8446,364,0,0,8473,228,0,0,8451,118,0,0,8143,69,0,0,8106,4,0,0,8400,8100,5008,5008,5002,,DUO_SUPPORT,BOTTOM
9,10,True,1054,3068,3047,3211,3076,1028,3340,1,1,2,0,1,0,365,0,0,0,0,0,85177,49978,32358,2840,20,5824,4201,1622,0,6365,1,11731,4698,4698,6,5,10621,1818,7794,1008,7910,6750,1,0,166,20,0,16,89,14,0,0,3,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,277,229,0,8446,2384,0,0,8473,673,0,0,8451,195,0,0,8347,0,0,0,8304,12,0,0,8400,8300,5007,5002,5001,,SOLO,TOP
0,1,True,3153,2033,3078,3047,3052,1028,3340,6,7,6,4,2,1,411,1,0,0,0,0,126815,20084,98891,7840,0,18444,4411,14032,0,4840,1,12609,12054,10207,7,17,22297,6771,11929,3596,12097,9933,4,2,135,9,0,6,130,15,0,0,3,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1067,0,0,9111,964,240,0,9104,19,50,0,8299,821,0,0,8304,12,0,0,8352,289,1070,895,8000,8300,5005,5008,5002,,SOLO,TOP
