,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,highestAchievedSeasonTier,role,lane
1,2,False,3123,3072,3031,1001,3094,1042,3363,3,10,2,0,1,0,570,0,0,0,0,0,185470,2220,176024,7226,969,24665,241,22817,1606,1969,4,19142,3426,826,18,12,23244,6680,15110,1454,11961,11625,0,0,240,4,4,0,76,14,4,0,12,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1537,767,770,8009,614,500,0,9104,17,10,0,8014,122,0,0,8275,11,0,0,8236,28,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
2,3,False,3165,3146,3157,1026,1054,3020,3363,7,5,4,3,2,2,846,1,0,0,0,0,125216,91968,29470,3777,0,21456,17281,3002,1172,5046,1,19897,2198,1821,21,31,25175,9098,14977,1099,11994,11975,0,0,213,0,0,0,67,17,1,0,9,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,439,0,0,8009,274,50,0,9104,20,30,0,8014,422,0,0,8139,858,0,0,8135,2105,4,0,8000,8100,5005,5008,5002,,SOLO,TOP
3,4,False,3190,0,3857,3109,0,3117,3364,0,9,9,0,0,0,522,0,0,0,0,0,33697,2950,24046,6700,0,10144,1457,7109,1577,775,1,26669,593,400,86,32,20224,5438,13233,1551,7239,6875,0,0,41,0,0,0,172,14,13,0,44,14,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,417,0,0,8446,252,0,0,8473,884,0,0,8451,172,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5008,5008,5002,,DUO_SUPPORT,BOTTOM
4,5,False,2033,2421,3089,3020,3165,3285,3364,13,7,5,5,1,2,480,0,0,0,0,0,176439,145317,19518,11603,0,38723,32244,2664,3814,10084,1,13586,4627,3760,26,43,30403,9407,20080,915,14487,12350,0,0,201,12,8,4,120,17,4,0,8,6,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,2359,0,0,8139,1693,0,0,8138,30,0,0,8135,6863,5,0,8345,3,0,0,8352,399,2005,1424,8100,8300,5008,5008,5002,,SOLO,MIDDLE
5,6,True,3152,3157,3100,3020,1402,1058,3364,11,6,10,6,2,2,641,1,0,0,0,0,218987,159980,39984,19022,0,22837,18979,2898,960,20116,1,20807,35666,7545,40,22,37181,14755,21632,794,15742,14100,3,1,70,161,106,8,507,17,4,0,5,12,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,1639,19,0,8143,955,0,0,8138,30,0,0,8135,9877,5,0,8304,9,0,0,8347,0,0,0,8100,8300,5005,5008,5002,,NONE,JUNGLE
6,7,True,3142,2033,3009,3179,3071,3134,3340,3,8,7,0,1,0,825,0,0,0,0,0,140781,16954,118904,4923,0,18597,3458,15043,96,2609,1,11623,10436,6219,29,10,23244,14262,7658,1324,11256,10950,3,1,177,13,0,8,138,15,2,0,11,6,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,13,0,0,8226,250,586,0,8233,20,0,0,8236,28,0,0,8352,298,1799,1069,8345,3,0,0,8200,8300,5008,5008,5003,,NONE,JUNGLE
7,8,True,3053,3812,1055,3065,3071,3047,3340,13,3,13,12,2,1,194,3,0,0,0,0,169840,0,167938,1902,0,27232,0,26950,282,28338,1,49702,9456,4284,37,22,46345,14910,23027,8407,15572,15180,3,0,161,36,12,14,398,18,2,0,12,10,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1484,0,0,9111,2603,520,0,9105,12,30,0,8014,710,0,0,8139,1122,0,0,8135,3923,5,0,8000,8100,5008,5008,5003,,SOLO,MIDDLE
8,9,True,3050,3860,3109,3117,3065,1028,3364,5,5,16,3,2,1,499,1,0,0,0,0,64831,48765,8762,7303,0,16813,13915,1275,1622,10207,1,32410,3054,1578,70,78,27328,9189,16823,1316,10321,10150,0,0,55,0,0,0,384,15,4,0,29,8,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,951,0,0,8126,970,0,0,8138,30,0,0,8105,16,5,0,8237,493,0,0,8234,12792,0,0,8100,8200,5008,5008,5003,,DUO_SUPPORT,BOTTOM
9,10,True,3046,3153,3124,3026,3006,2055,3363,10,6,12,3,2,4,674,3,0,0,0,0,156540,6063,124234,26243,471,16473,1345,12357,2770,4165,4,9216,19068,5642,32,6,21576,8174,12635,766,15088,14765,2,2,205,24,12,8,64,16,3,0,10,4,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1087,786,301,9111,806,440,0,9104,13,30,0,8014,542,0,0,8275,10,0,0,8236,28,0,0,8000,8200,5005,5008,5002,,DUO_CARRY,BOTTOM
0,1,False,3147,3179,3134,3033,3814,3009,3363,11,7,11,4,3,3,582,3,1,0,0,0,138848,11202,120651,6994,0,27383,5693,21400,290,4790,3,8766,10683,3298,56,36,20357,10484,9790,82,16686,14225,1,0,207,14,4,5,170,16,3,0,14,14,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1762,0,0,8226,250,414,0,8210,0,0,0,8237,429,0,0,8345,3,0,0,8352,223,1244,674,8200,8300,5008,5008,5002,,DUO_CARRY,BOTTOM
