,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
1,{3414942623},2,Fail,False,True,False,False,True,True
0,{3414942624},1,Win,True,True,True,False,True,True
1,{3414942624},2,Fail,False,False,False,False,False,False
0,{3414942638},1,Win,True,False,True,True,True,False
1,{3414942638},2,Fail,False,True,False,False,False,True
0,{3414942653},1,Win,False,True,True,True,False,False
1,{3414942653},2,Fail,True,False,False,False,True,True
0,{3414942662},1,Win,True,True,True,False,False,True
1,{3414942662},2,Fail,False,False,False,False,True,False
0,{3414942674},1,Win,False,True,True,False,True,True
1,{3414942674},2,Fail,True,False,False,False,False,False
0,{3414942687},1,Fail,False,False,False,False,False,False
1,{3414942687},2,Win,True,True,False,True,True,False
0,{3414942690},1,Win,False,True,True,True,False,True
1,{3414942690},2,Fail,True,False,False,False,True,False
0,{3414942697},1,Win,True,False,True,True,True,False
1,{3414942697},2,Fail,False,True,False,False,False,True
0,{3414942733},1,Win,False,True,True,False,False,True
1,{3414942733},2,Fail,True,False,False,False,True,False
0,{3414942742},1,Fail,True,False,False,False,False,False
1,{3414942742},2,Win,False,True,True,True,True,True
0,{3414942748},1,Win,False,False,False,True,True,False
1,{3414942748},2,Fail,True,True,True,False,False,True
0,{3414942752},1,Win,True,False,True,True,False,True
1,{3414942752},2,Fail,False,True,False,False,True,False
0,{3414942756},1,Fail,True,False,False,False,False,False
1,{3414942756},2,Win,False,True,True,False,True,True
0,{3414942781},1,Win,False,True,True,False,True,True
1,{3414942781},2,Fail,True,False,False,False,False,False
0,{3414942789},1,Win,True,True,True,False,True,True
1,{3414942789},2,Fail,False,False,False,True,False,False
0,{3414942790},1,Fail,True,False,False,False,False,False
1,{3414942790},2,Win,False,True,True,False,True,True
0,{3414942804},1,Fail,False,True,False,False,True,True
1,{3414942804},2,Win,True,False,False,False,False,False
0,{3414942810},1,Fail,False,False,False,True,True,False
1,{3414942810},2,Win,True,True,True,False,False,True
0,{3414942849},1,Win,False,False,True,True,False,True
1,{3414942849},2,Fail,True,True,False,False,True,False
0,{3414942853},1,Win,True,True,True,False,True,True
1,{3414942853},2,Fail,False,False,False,False,False,False
0,{3414942859},1,Win,False,True,True,False,False,False
1,{3414942859},2,Fail,True,False,False,False,True,False
0,{3414942863},1,Win,True,False,True,True,True,False
1,{3414942863},2,Fail,False,True,False,False,False,True
0,{3414942877},1,Win,True,False,True,True,False,True
1,{3414942877},2,Fail,False,True,False,False,True,False
0,{3414942898},1,Win,True,True,True,False,True,True
1,{3414942898},2,Fail,False,False,False,False,False,False
0,{3414942909},1,Fail,True,True,False,False,False,True
1,{3414942909},2,Win,False,False,True,True,True,False
0,{3414942915},1,Fail,False,True,False,False,True,False
1,{3414942915},2,Win,True,False,True,False,False,False
0,{3414942965},1,Fail,False,False,False,False,False,False
1,{3414942965},2,Win,True,True,False,False,True,True
0,{3414942995},1,Fail,False,False,False,False,True,False
1,{3414942995},2,Win,True,True,True,False,False,False
0,{3414942997},1,Fail,True,True,False,False,False,True
1,{3414942997},2,Win,False,False,True,True,True,False
0,{3414943005},1,Win,False,True,True,False,True,False
1,{3414943005},2,Fail,True,False,False,False,False,True
0,{3414943007},1,Fail,True,False,False,False,False,False
1,{3414943007},2,Win,False,True,True,True,True,True
0,{3414943028},1,Fail,False,False,False,False,False,False
1,{3414943028},2,Win,True,True,True,True,True,True
0,{3414943037},1,Win,False,True,False,False,False,True
1,{3414943037},2,Fail,True,False,False,False,True,False
0,{3414943040},1,Win,False,True,True,False,False,True
1,{3414943040},2,Fail,True,False,False,False,True,False
0,{3414943049},1,Win,True,False,True,True,True,False
1,{3414943049},2,Fail,False,True,False,False,False,True
0,{3414943072},1,Fail,True,False,False,False,False,False
1,{3414943072},2,Win,False,True,True,False,True,False
0,{3414943083},1,Fail,True,False,False,False,False,True
1,{3414943083},2,Win,False,True,True,True,True,False
0,{3414943085},1,Fail,False,False,False,False,False,False
1,{3414943085},2,Win,True,True,True,False,True,True
0,{3414943100},1,Win,True,True,True,True,True,False
1,{3414943100},2,Fail,False,False,False,False,False,True
0,{3414943101},1,Win,True,True,True,False,False,False
1,{3414943101},2,Fail,False,False,False,False,True,True
0,{3414943103},1,Fail,False,False,False,False,False,False
1,{3414943103},2,Win,True,True,True,True,True,True
0,{3414943114},1,Fail,False,False,False,False,False,False
1,{3414943114},2,Win,True,True,False,False,True,True
0,{3414943119},1,Fail,True,True,False,False,False,True
1,{3414943119},2,Win,False,False,True,False,True,False
0,{3414943122},1,Win,True,True,True,False,True,False
1,{3414943122},2,Fail,False,False,False,False,False,True
